,project_name,project_type,project_owner,base_price,target_price,target_rate,bid_days,bid_start_month,bid_start_weekday,bid_start_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding
20,강화수도사업소 관사 신축 전기공사,공사,인천광역시 상수도사업본부,142890000,141383000,98.945,6,7,1,3Q,100.059,98.69,99.59216666666667,0.5347931999069051,6
21,"대구장동초등학교 외2교(월서중, 대곡중) 학교급식시설 개선 및 기타 전기공사",공사,대구광역시교육청 대구광역시남부교육지원청,110031000,110417000,100.351,6,7,1,3Q,100.813,98.634,99.43416666666667,0.9297946905993092,6
22,[긴급]서울무학초등학교 병설유치원 설치 전기공사,공사,서울특별시교육청 서울특별시성동광진교육지원청,206555000,206761000,100.1,4,7,2,3Q,100.241,99.83,100.03725,0.19472608967470026,4
23,대전.세종 관광기업지원센터 조성 전기공사,공사,대전마케팅공사,191608000,191552000,99.971,6,7,1,3Q,100.249,99.297,99.773,0.673165655689592,2
24,"분당구청 주차빌딩 건립공사 감리용역(전기,통신,소방)",용역,경기도 성남시 분당구,139260000,138605000,99.53,6,7,1,3Q,99.646,99.311,99.4785,0.236880771697489,2
25,동명중학교 예드림홀 시설 전기공사,공사,대전광역시동부교육청 동명중학교,40370000,40522000,100.377,6,7,1,3Q,0.0,0.0,0.0,0.0,0
26,광덕중 조명기구(LED) 개선 전기공사,공사,경기도교육청 경기도안산교육지원청,223679000,221746000,99.136,6,7,1,3Q,100.807,99.238,100.0265,0.48046475661898447,18
28,철암중고 관사보수 전기공사,공사,강원도교육청 강원도태백교육지원청,47344000,47322000,99.954,6,7,1,3Q,101.224,98.395,99.8095,2.0004050839767484,2
29,경북외국어고등학교 교사동 내진보강 및 기타 전기공사 입찰 공고,공사,경상북도교육청 경상북도구미교육지원청,214955000,216791000,100.854,5,7,2,3Q,101.03,98.824,99.92775,0.6570214187808826,20
30,중랑중 시청각실 전기공사,공사,서울특별시교육청 서울특별시동부교육지원청,26270000,26136000,99.49,4,7,3,3Q,100.736,99.018,99.86244444444445,0.5823158745713335,9
31,진도국악고등학교 방음 전기공사 외 3건 공사,공사,전라남도교육청 전라남도진도교육지원청,51866000,51647000,99.578,5,7,2,3Q,0.0,0.0,0.0,0.0,0
33,청사 전기실(기계실) 환경개선 실내건축공사,공사,충청북도 제천시,110300000,111787000,101.348,4,7,3,3Q,101.072,98.013,99.74578947368418,0.8157321577677153,19
34,성남초 방화문 및 방화셔터 설치 전기(전기소방)공사 설계용역,용역,경기도교육청 경기도성남교육지원청,3158000,3131000,99.145,5,7,2,3Q,101.644,98.566,99.97338888888889,0.8004828057005493,18
35,청주대성초 본관동 화장실 보수 전기공사 수의견적 제출 안내공고(긴급),공사,충청북도교육청 충청북도청주교육지원청 청주대성초등학교,54868000,54861000,99.987,5,7,2,3Q,0.0,0.0,0.0,0.0,0
36,경산중앙초등학교 다목적강당 천장개체 전기공사,공사,경상북도교육청 경상북도경산교육지원청,70752000,70739000,99.982,5,7,1,3Q,101.468,98.801,99.98542857142856,0.8504980613622541,7
37,갈원초 외 1교(낭성초)LED조명교체 전기공사 소액수의 견적공고,공사,충청북도교육청 충청북도청주교육지원청,22539000,22710000,100.759,4,7,3,3Q,101.591,98.92,100.17238888888888,0.6400109498071236,36
38,팔덕지구 2단계 하수관거 정비사업 전기공사,공사,전라북도 순창군,34650000,34479000,99.506,5,7,2,3Q,100.793,99.308,100.065,0.6079928727652432,4
39,농기계임대사업소 도암분점 신축공사(전기),공사,전라남도 강진군,33328000,33021000,99.079,5,7,2,3Q,100.493,98.046,99.514375,0.8456664214857822,8
40,아산전문요양원 기능보강(증개축) 전기공사(긴급),공사,의료법인 정빈의료재단 아산전문요양원,106190000,104730000,98.625,5,7,2,3Q,0.0,0.0,0.0,0.0,0
41,우두지구 CGV앞 주차타워 조성공사(소방전기),공사,충청남도 당진시,167850000,166409000,99.141,5,7,1,3Q,100.725,98.671,99.84921428571428,0.6945613090922285,14
42,무주 향로산 자연휴양림 보완사업 옥외 전기공사,공사,전라북도 무주군,31713000,31420000,99.076,4,7,2,3Q,100.92,98.878,99.87961538461538,0.6312508136577638,13
43,G밸리테크플랫폼 인테리어 전기공사,공사,한국산업단지공단,33713299,33631000,99.756,4,7,0,3Q,0.0,0.0,0.0,0.0,0
44,서부장애인복지센터 신축공사 전기감리용역,용역,경상남도 김해시,75229000,75269000,100.053,4,7,0,3Q,101.032,99.375,100.064,0.8253536615697933,4
45,동해삼육고 본관동 전기 보수공사,공사,강원도교육청 동해삼육고등학교,64799000,65017000,100.336,7,7,4,3Q,0.0,0.0,0.0,0.0,0
47,화산도시계획도로 소로1-4호선 외 2개소 전기공사,공사,경기도 화성시 동부출장소,107400000,106506000,99.168,3,7,1,3Q,0.0,0.0,0.0,0.0,0
48,탑정호 멀티미디어 음악분수 조성사업(전기),공사,충청남도 논산시,193698000,192811000,99.542,3,7,1,3Q,100.816,99.137,99.95566666666667,0.5808854265583521,12
50,북방면 중화계리 경로당 신축공사(전기),공사,강원도 홍천군,23587000,23398000,99.199,4,7,0,3Q,101.245,98.493,100.09375,0.709223406910046,12
51,돈암서원 한옥마을 화장실 등 보강 전기공사,공사,충청남도 논산시,33566000,33921000,101.058,2,7,2,3Q,100.816,99.137,99.92384615384617,0.5678661588428863,13
52,성장관리방안 시범지역 내 남양도시계획도로 소로 2-19호선 전기공사,공사,경기도 화성시,37587000,37484000,99.726,4,7,0,3Q,99.727,99.727,99.727,,1
53,대장금테마파크 조성사업 전기감리용역,용역,전라북도 정읍시,54960000,54905000,99.9,3,7,1,3Q,101.232,98.119,99.78804166666664,0.7965056007972888,24
55,신철원전통시장 고객편의시설 신축공사(전기),공사,강원도 철원군,130867000,131367000,100.382,2,7,2,3Q,100.593,99.274,100.17000000000002,0.6075146088778451,4
56,신철원전통시장 고객편의시설 신축공사(소방전기),공사,강원도 철원군,24519000,24789000,101.101,2,7,2,3Q,100.593,99.274,100.17000000000002,0.6075146088778451,4
57,삼척경찰서 교통민원동 증축공사(전기),공사,경찰청 강원도지방경찰청,67705000,67639000,99.903,3,7,1,3Q,0.0,0.0,0.0,0.0,0
58,남원시 시군창의(농촌폐자원활용 체험관광활성화)사업 전기공사,공사,한국농어촌공사 전북지역본부 남원지사,68835000,67972000,98.746,3,7,1,3Q,101.233,101.233,101.233,,1
59,서울선린초등학교 화장실개선 전기공사 견적 공고,공사,서울특별시교육청 서울특별시강동송파교육지원청,62327000,61888000,99.296,2,7,2,3Q,100.552,98.917,99.869,0.5692455533423171,9
60,서울선사초등학교 화장실개선 전기공사 견적 공고,공사,서울특별시교육청 서울특별시강동송파교육지원청,58749000,58152000,98.984,2,7,2,3Q,100.552,98.917,99.869,0.5692455533423171,9
62,특수함정연구센터 증축 전기공사,공사,국방과학연구소,328400000,323791000,98.597,7,7,4,3Q,99.901,99.437,99.67433333333334,0.23218383521109534,3
63,2020년 중앙보훈병원 중환자실 시설재배치 공사[전기],공사,한국보훈복지의료공단 중앙보훈병원,251350000,252451000,100.438,7,7,3,3Q,0.0,0.0,0.0,0.0,0
65,2020년 옥수PSD 사무실 전기공사,공사,서울교통공사,126779000,126264000,99.594,7,7,4,3Q,101.307,98.153,99.80274468085105,0.808176650623115,47
66,충청북도교육연구정보원 사무실 증축 및 기타 전기공사,공사,충청북도교육청,50468000,51325000,101.698,3,7,1,3Q,98.876,98.406,98.641,0.33234018715767655,2
67,서울서신초등학교 재구조화 및 화장실개선 전기공사,공사,서울특별시교육청 서울특별시서부교육지원청,148209000,147878000,99.777,4,7,0,3Q,100.297,99.802,99.991,0.2200863466914724,4
68,신월교 교차로 운영체계 개선사업 전기공사,공사,경기도 광주시,39950000,39970000,100.05,3,7,0,3Q,100.409,98.8,99.76283333333333,0.5819094144853398,6
70,노후지하차도(둔산) 조도개선 전기공사 감리용역,용역,대전광역시,45042000,45182000,100.311,2,7,2,3Q,100.776,98.393,100.05092857142857,0.6794270736080867,14
71,노후지하차도(탄방) 조도개선 전기공사 감리용역,용역,대전광역시,34032000,33457000,98.31,2,7,2,3Q,100.776,98.393,100.05092857142857,0.6794270736080867,14
72,오룡초 교실 보수 전기공사,공사,전라남도교육청 전라남도무안교육지원청,85085000,84997000,99.897,3,7,1,3Q,99.461,99.461,99.461,,1
73,전북교육문화회관 공연장동 냉난방시설 개선 전기공사,공사,전라북도교육청,35216000,35557000,100.968,2,7,2,3Q,101.333,98.894,99.99655555555555,0.7493710881651194,9
74,망성면 금지마을만들기(자율개발)사업 전기공사,공사,전라북도 익산시 미래농정국,25069000,25113000,100.176,3,7,1,3Q,100.751,100.751,100.751,,1
75,석수초교 외 1개소 어린이보호구역 교차로 개선 전기공사,공사,경기도 안산시,134178000,133374000,99.401,3,7,1,3Q,101.26,98.91,99.7295,0.6762517282787539,16
76,풍동고 보통교실 조성 전기공사,공사,경기도교육청 풍동고등학교,36141000,35568000,98.415,3,7,0,3Q,0.0,0.0,0.0,0.0,0
77,사이동 소규모 재생사업 거점공간 조성공사(전기),공사,경기도 안산시,38070000,38219000,100.391,3,7,0,3Q,101.26,98.91,99.6854,0.6757531036871814,15
78,신산초 용량증설 전기공사 감리용역,용역,경기도교육청 경기도파주교육지원청,28045000,28183000,100.492,3,7,1,3Q,101.381,98.771,99.78119999999998,0.888828792412927,10
79,충주중산고 시설(전기)공사 입찰 공고 (긴급),공사,충청북도교육청 충주중산고등학교,199749000,196297000,98.272,3,7,0,3Q,0.0,0.0,0.0,0.0,0
80,봉산유치원 소방펌프실 및 다목적실 전기공사 수의계약 안내공고,공사,광주광역시교육청 광주광역시서부교육지원청,44473000,44110000,99.184,2,7,2,3Q,101.845,98.133,99.63278378378378,0.790952103309505,37
81,백제중학교 조명시설 개선 및 전원차단장치 전기공사,공사,충청남도부여교육청 백제중학교,26597000,26322000,98.966,3,7,1,3Q,0.0,0.0,0.0,0.0,0
82,대진초 화장실 보수 전기공사 소액수의 견적제출 안내 재공고,공사,강원도교육청 강원도고성교육지원청,42508000,41881000,98.525,2,7,1,3Q,100.486,98.499,99.78249999999998,0.7020993519438701,6
83,상무 복합수소충전소 건립 전기공사,공사,재단법인 광주그린카진흥원,56430000,56960000,100.939,2,7,2,3Q,0.0,0.0,0.0,0.0,0
84,정선정보공고 내진보강 및 환경개선 전기공사 소액수의 견적제출 공고,공사,강원도교육청 강원도정선교육지원청,117880000,117238000,99.455,2,7,2,3Q,100.975,98.167,99.74508333333335,0.7857011296615979,12
85,대야어린이도서관 리모델링 및 인테리어 공사(전기),공사,경기도 시흥시,165000000,166199000,100.727,2,7,2,3Q,101.354,98.791,99.81350000000002,0.8857888921963649,14
86,부산여자고등학교 화장실개량 및 기타 전기공사,공사,부산광역시교육청 부산광역시서부교육지원청,146581000,147180000,100.409,3,7,1,3Q,101.323,98.566,99.85314285714283,0.7728829582976262,35
87,안동고등학교 시청각실 증축공사 전기부문 설계용역,용역,경상북도교육청 경상북도안동교육지원청,14430000,14425000,99.965,3,7,0,3Q,101.341,98.376,100.05219230769231,0.6903248521808115,26
88,신림면 수련동 공공하수처리시설 개량 전기공사,공사,강원도 원주시,64682000,64453000,99.646,3,7,1,3Q,100.494,98.186,99.87383333333334,0.840014860979651,6
90,(가칭)중부(칠곡) 수학체험센터 증축공사 전기부문 설계용역 입찰공고,용역,경상북도교육청 경상북도칠곡교육지원청,20123000,20250000,100.631,3,7,1,3Q,101.168,98.045,99.78450000000001,0.8934978584624163,14
91,마북초외 1교(모현초) 전기용량증설 및 전기보수공사,공사,경기도용인교육청,65382000,65260000,99.813,3,7,1,3Q,100.964,98.334,99.78423076923076,0.8059004061392335,26
92,서원중외 1교(현암초) 전기용량증설 및 전기보수공사,공사,경기도용인교육청,39596000,39980000,100.97,3,7,1,3Q,100.964,98.334,99.78423076923076,0.8059004061392335,26
93,여산초 화장실 수선 및 기타 전기공사,공사,전라북도교육청 전라북도익산교육지원청,88791000,89923000,101.275,2,7,2,3Q,101.24,98.824,100.06162499999999,0.7998536428622401,16
94,마북초외 1교(모현초) 전기용량증설 및 전기보수공사 감리용역,용역,경기도용인교육청,20433000,20548000,100.563,3,7,1,3Q,100.964,98.334,99.78423076923076,0.8059004061392335,26
95,서원중외 1교(현암초) 전기용량증설 및 전기보수공사 감리용역,용역,경기도용인교육청,17937000,17782000,99.136,3,7,1,3Q,100.964,98.334,99.78423076923076,0.8059004061392335,26
96,[랜드마크]송진산 산책로 조성사업 전기공사,공사,경상북도 문경시,141494000,143700000,101.559,2,7,2,3Q,100.467,98.963,99.92800000000001,0.4374621888422682,13
97,전주동학농민혁명 파랑새관 리모델링 공사(전기),공사,전라북도 전주시,83420000,84026000,100.726,2,7,2,3Q,101.258,98.595,99.96978571428572,0.7072905157192292,14
98,충주북여자중학교 냉난방개선 전기공사,공사,충청북도충주교육청 충주북여자중학교,229163000,229764000,100.262,6,7,4,3Q,0.0,0.0,0.0,0.0,0
99,무실초 교사동 화장실보수 전기공사,공사,강원도교육청 강원도원주교육지원청,74711000,74274000,99.415,2,7,1,3Q,101.04,98.614,99.67315384615387,0.6885662454397381,13
100,2020년 제승당 화장실 정비 전기공사,공사,경상남도 제승당관리사무소,30601000,30862000,100.853,2,7,1,3Q,0.0,0.0,0.0,0.0,0
102,강서구 육아종합지원센터 건립 전기공사,공사,부산광역시 강서구,363363000,365081000,100.473,2,7,1,3Q,101.483,98.41,99.682,1.1698279788071422,5
103,하남산단 노동자 작업복세탁소 건립 전기공사,공사,광주광역시,50380000,49890000,99.027,3,7,0,3Q,101.373,98.625,99.85223076923077,0.7672474778763974,13
105,소재부품장비 연구사업단 실험실 및 사무공간 구축 전기공사,공사,재단법인 차세대융합기술연구원,63204242,63507000,100.479,2,7,1,3Q,0.0,0.0,0.0,0.0,0
107,옥과초외 2교 1학년교실 환경개선 전기공사 소액 수의견적 안내 공고,공사,전라남도교육청 전라남도곡성교육지원청,27775000,27532000,99.125,3,7,0,3Q,100.4,100.153,100.2765,0.17465537495307715,2
110,2020년 군산자유무역지역 화장실 및 기타시설 보수 전기공사,공사,조달청 전북지방조달청,157450000,158220000,100.489,2,7,1,3Q,100.461,99.38,99.94919999999999,0.38607765482549816,10
111,고양국제고 기숙사동 LED 조명기구 교체 전기공사,공사,경기도교육청 고양국제고등학교,46863000,46934000,100.152,7,7,3,3Q,0.0,0.0,0.0,0.0,0
112,양촌면 간이양수장 설치 전기공사,공사,한국농어촌공사 충남지역본부 논산지사,45275000,44820000,98.995,8,7,2,3Q,0.0,0.0,0.0,0.0,0
113,개방형 창의도서관(삼천) 조성공사(전기),공사,전라북도 전주시,226114000,225930000,99.919,2,7,1,3Q,101.258,98.595,99.97369230769232,0.7360140832682689,13
114,낙동초등학교 외 2교 조리원휴게실 증축 및 기타 전기공사,공사,경상북도교육청 경상북도상주교육지원청,20042000,19935000,99.466,6,7,4,3Q,101.69,100.345,101.0175,0.9510586206959056,2
115,"원통전통시장 타워주차장 신축공사 감리용역(전기, 통신, 소방)",용역,강원도 인제군,80537000,80360000,99.78,3,7,0,3Q,100.641,98.046,99.47233333333334,1.0504067148807958,6
116,문수스쿼시 경기장 증축 및 개보수 전기공사 도급공사분 입찰 공고,공사,울산시설공단,313478000,313270000,99.934,7,7,3,3Q,100.549,100.549,100.549,,1
118,전주동중 교사동 냉난방시설개선 전기공사,공사,전라북도교육청 전라북도전주교육지원청,31721000,31664000,99.82,3,7,0,3Q,101.098,98.331,99.93907999999999,0.7942153318422736,25
119,탄금중 행복감성 NEW SPACE 및 기타 전기공사,공사,충청북도교육청 충청북도충주교육지원청,21021000,20983000,99.819,6,7,4,3Q,101.314,98.648,99.88905555555556,0.6193225399553364,18
121,장승포동 주민센터 신축공사(전기공사),공사,경상남도 거제시,247802000,247371000,99.826,3,7,0,3Q,100.509,98.465,99.63405882352941,0.4911914685980709,17
122,도서지역 농업용수 담수시설 전기공사(말도리),공사,인천광역시 강화군,25712000,25453000,98.993,2,7,1,3Q,100.034,98.591,99.33860000000001,0.5987305737975996,5
123,영덕소방서 청사 증축 전기공사,공사,경상북도,109181000,108254000,99.151,2,7,1,3Q,100.757,98.165,99.60334615384615,0.6206263895328773,26
124,"용산중학교 외 2교(경상중, 대덕초) 환경개선 전기공사",공사,대구광역시교육청 대구광역시남부교육지원청,96683000,97469000,100.813,3,7,0,3Q,100.277,98.634,99.1584,0.7143481644128433,5
125,신안군 압해읍 제설창고 설치공사(전기),공사,국토교통부 익산지방국토관리청 광주국토관리사무소,123629000,123382000,99.8,5,7,4,3Q,100.216,99.836,100.026,0.26870057685088483,2
126,"이월,덕산 농어촌 생활용수 개발사업 전기공사",공사,충청북도 진천군 상하수도사업소,100462000,100743000,100.28,3,7,0,3Q,100.043,100.043,100.043,,1
127,서울응암초등학교 냉난방 및 필로티 개선 전기공사,공사,서울특별시교육청 서울특별시서부교육지원청,54096000,54023000,99.865,5,7,4,3Q,100.297,99.802,100.033,0.24914453636393005,3
130,전남조리과학고 기숙사 내부 보수 전기공사 소액 수의견적 안내 공고,공사,전라남도교육청 전라남도곡성교육지원청,47608000,47723000,100.242,3,7,0,3Q,100.4,100.153,100.2765,0.17465537495307715,2
131,장명초 외 1교(장일분교장) 냉난방개선 전기공사,공사,경기도교육청 경기도화성오산교육지원청,12687000,12838000,101.19,5,7,5,3Q,100.755,98.835,99.8685,0.6008010561666046,12
133,"김천교육지원청 WEE센터, 특수교육지원센터 이전 전기부문 설계용역 수의견적 제출 안내 공고",용역,경상북도교육청 경상북도김천교육지원청,15021000,15067000,100.306,3,7,0,3Q,100.451,98.916,99.62899999999999,0.6623775358509648,5
134,다온중 교사동 외벽 치장벽돌 개선 전기공사,공사,경기도교육청 경기도의정부교육지원청,22176000,22065000,99.499,5,7,4,3Q,100.676,98.519,99.74061538461538,0.5969769033027352,13
135,정남중 냉난방개선 전기공사,공사,경기도교육청 경기도화성오산교육지원청,12646000,12760000,100.901,5,7,5,3Q,100.755,98.835,99.8685,0.6008010561666046,12
137,단구중 교사동 화장실보수 전기공사,공사,강원도교육청 강원도원주교육지원청,54208000,54084000,99.771,2,7,1,3Q,101.04,98.614,99.665,0.7185281673481778,12
139,"탄금중외 2교(중앙중, 칠금초) 조명개선 전기공사",공사,충청북도교육청 충청북도충주교육지원청,79189000,79111000,99.902,3,7,0,3Q,101.314,98.648,99.88536842105262,0.6020878683129132,19
140,조원고~수일고 보행환경 개선사업(전기),공사,경기도 수원시,39127000,38866000,99.333,3,7,0,3Q,101.195,98.379,99.75415384615381,0.7819452076023652,13
141,"나주중 외 2교(나주초, 나주공산중) 바닥보수 전기공사",공사,전라남도교육청 전라남도나주교육지원청,65725000,66053000,100.499,3,7,0,3Q,100.418,100.418,100.418,,1
142,원주시장애인종합복지관 리모델링공사(전기),공사,강원도 원주시,43090000,43303000,100.494,3,7,0,3Q,100.224,98.186,99.74980000000001,0.8755850615445624,5
143,센텀초등학교 등 2교(광남초) 독서환경개선 및 첨단미래교실구축 전기공사,공사,부산광역시교육청 부산광역시해운대교육지원청,27516000,27653000,100.498,2,7,1,3Q,101.348,98.302,99.73827906976743,0.6935923162911779,43
144,"죽성초등학교 식당증축 및 기타 전기, 정보통신, 소방공사 감리용역",용역,부산광역시교육청 부산광역시해운대교육지원청,24763000,24600000,99.342,2,7,1,3Q,101.348,98.302,99.73827906976743,0.6935923162911779,43
145,대화고 특별교실동 냉난방개선 전기공사,공사,강원도교육청 강원도평창교육지원청,39287000,39374000,100.221,2,7,1,3Q,100.15,98.958,99.77983333333333,0.43809059184906857,6
146,제주서중 태양광발전장치 설치 및 LED조명 교체 전기설비공사 긴급 입찰공고,공사,제주특별자치도교육청 제주시교육지원청,267967000,266789000,99.56,2,7,1,3Q,100.194,98.588,99.41600000000001,0.6369938775215997,6
148,재해취약시설 전기보수 공사 수의계약 안내 공고,공사,경상남도교육청 웅상고등학교,57214000,56879000,99.414,5,7,4,3Q,0.0,0.0,0.0,0.0,0
149,와부초 LED조명개선 전기공사,공사,경기도교육청 경기도구리남양주교육지원청,198077000,198741000,100.335,5,7,5,3Q,101.001,98.504,99.79646153846153,0.7880973517893829,13
150,노동복지회관 주민복합커뮤니티 공간 조성 전기공사,공사,경기도 부천시,83079000,82727000,99.576,3,7,0,3Q,100.532,98.567,99.50999999999998,0.6159073446086317,15
151,수지중외 1교(구갈중) 전기용량 증설 전기공사 감리용역,용역,경기도용인교육청,16427000,16375000,99.683,5,7,5,3Q,100.893,98.334,99.73929166666669,0.8018000118844897,24
152,수지중외 1교(구갈중) 전기용량 증설 전기공사,공사,경기도용인교육청,26970000,27230000,100.964,5,7,5,3Q,100.893,98.334,99.73929166666669,0.8018000118844897,24
153,면북초 화장실개선 전기공사,공사,서울특별시교육청 서울특별시동부교육지원청,56550000,56384000,99.706,2,7,1,3Q,100.736,99.018,99.882,0.6193545026880802,8
154,담양소방서 고서119안전센터 증축 전기공사,공사,전라남도,110640000,111061000,100.381,2,7,1,3Q,101.267,98.575,99.82233333333333,0.7387813968833741,15
155,안양양지초 급식실현대화 전기공사,공사,경기도교육청 경기도안양과천교육지원청,205576000,205925000,100.17,5,7,5,3Q,100.67,98.421,99.80173076923074,0.6067107091649068,26
156,와부고 LED조명개선 전기공사,공사,경기도교육청 경기도구리남양주교육지원청,245960000,250142000,101.7,5,7,5,3Q,101.001,98.504,99.79646153846153,0.7880973517893829,13
157,신중초 급식실 증축 및 기타 전기공사 입찰 공고,공사,서울특별시교육청 서울특별시강남서초교육지원청,271920000,274517000,100.955,2,7,0,3Q,101.337,98.843,100.23740000000001,0.8692529615198966,10
158,신동초 화장실개선 전기공사 수의견적 제출 공고,공사,서울특별시교육청 서울특별시강남서초교육지원청,30634000,30282000,98.851,2,7,0,3Q,101.337,98.843,100.23740000000001,0.8692529615198966,10
159,서울삼정초 꿈을 담은 교실만들기 전기공사,공사,서울특별시교육청 서울특별시강서양천교육지원청,75675000,75648000,99.964,2,7,1,3Q,101.797,99.371,100.23144444444443,0.8721925118789867,9
160,안양부흥중 노후전기시설 보수 전기공사,공사,경기도교육청 경기도안양과천교육지원청,123394000,121801000,98.709,3,7,0,3Q,100.67,98.421,99.81537037037036,0.5991354764060618,27
161,신도림중학교 외 1교(경인고) 수배전반 교체 및 기타 전기공사,공사,서울특별시교육청 서울특별시남부교육지원청,104817000,105491000,100.643,2,7,1,3Q,100.432,98.694,99.772875,0.7548792595035113,8
162,안양서초 교사동 화장실 개선 전기공사,공사,경기도교육청 경기도안양과천교육지원청,139775000,139595000,99.871,3,7,0,3Q,100.67,98.421,99.81537037037036,0.5991354764060618,27
164,약학관 연구실 안전환경 조성 전기공사,공사,부산대학교 연구실안전관리센터,45914000,45854000,99.869,2,7,1,3Q,0.0,0.0,0.0,0.0,0
165,서울청구초 돌봄교실조성 전기공사,공사,서울특별시 중구,76065000,76326000,100.343,5,7,4,3Q,100.622,99.154,99.68325,0.6935471024619269,4
166,(가칭)삼락메이커아지트 구축 전기공사 수의견적 제출 공고,공사,경상남도교육청 경상남도고성교육지원청,145893000,144331000,98.929,5,7,4,3Q,101.262,99.12,100.05716666666666,0.8196053725218396,6
167,CCTV 통합관제센터 전기공사,공사,강원도 화천군,46877000,46984000,100.228,6,7,3,3Q,100.363,99.986,100.1745,0.2665792565073251,2
168,산자연중학교 체육관 전기공사,공사,경상북도교육청 경상북도영천교육지원청 산자연학교,64306000,64057000,99.613,6,7,3,3Q,0.0,0.0,0.0,0.0,0
169,청암학교 수변전시설 보수 및 LED전등 교체 전기공사,공사,충청북도교육청 청암학교,100809990,100743000,99.934,5,7,4,3Q,0.0,0.0,0.0,0.0,0
170,도곡면 행정복지센터 증축공사(전기),공사,전라남도 화순군,86086000,85080000,98.831,5,7,4,3Q,101.761,99.278,100.449,1.2474906813279154,3
171,중구자원봉사센터 확장 및 환경개선공사(전기),공사,울산광역시 중구,51645000,51059000,98.865,2,7,0,3Q,100.644,98.937,99.71333333333332,0.7501404312971477,6
172,우천면 행정복지센터 창고신축공사(전기)(입찰대행),공사,강원도 횡성군,38931000,38855000,99.805,5,7,3,3Q,100.7,98.639,99.76466666666666,1.0435996997572108,3
173,선도중학교 화장실수선 전기공사,공사,충청남도교육청 충청남도아산교육지원청,39123000,38726000,98.985,2,7,0,3Q,101.354,99.318,100.3592,0.7512490931774907,5
174,동면초 화장실외 1건 보수 전기공사,공사,전라남도교육청 전라남도화순교육지원청,42829000,42686000,99.666,2,7,0,3Q,99.219,98.391,98.805,0.5854844148224534,2
175,대구구지초등학교 급식시설 증축 및 개선 전기공사,공사,대구광역시교육청 대구광역시달성교육지원청,128403000,129676000,100.991,6,7,3,3Q,0.0,0.0,0.0,0.0,0
176,대구도림초등학교 급식시설개선 전기공사,공사,대구광역시교육청 대구광역시달성교육지원청,115676000,114846000,99.282,6,7,3,3Q,0.0,0.0,0.0,0.0,0
178,대구천내초등학교 급식시설개선 전기공사,공사,대구광역시교육청 대구광역시달성교육지원청,105501000,105083000,99.604,6,7,3,3Q,0.0,0.0,0.0,0.0,0
179,경산경찰서 수사부서 환경개선공사(전기),공사,경찰청 경상북도지방경찰청,78628000,79234000,100.771,2,7,0,3Q,100.458,98.894,99.67824999999999,0.7027443228752059,4
180,법과학감정실 구축공사(전기),공사,경찰청 경상북도지방경찰청,84590000,84419000,99.798,2,7,0,3Q,100.458,98.894,99.67824999999999,0.7027443228752059,4
